age_group,gender,province_of_residence,frequency_smoked_cannabis,frequency_vaped_cannabis,frequency_consumed_edibles
15 to 19 years old,Female,Saskatchewan,"Less than once a week, but at least once","Less than daily, but at least once a week",At least once in the past 30 days
15 to 19 years old,Not stated,Newfoundland and Labrador,"Less than once a week, but at least once",Daily,At least once in the past 30 days
55 to 64 years old,Female,Saskatchewan,"Less than once a week, but at least once",In the past month,At least once in the past 30 days
45 to 54 years old,Male,Alberta,Not at all,"Less than daily, but at least once a week",At least once in the past 30 days
25 to 34 years old,Female,Saskatchewan,"Less than daily, but at least once a week",Not at all,Not at all
15 to 19 years old,Female,Alberta,"Less than once a week, but at least once",Not at all,Not at all
20 to 24 years old,Male,Manitoba,"Less than daily, but at least once a week",In the past month,Not at all
15 to 19 years old,Male,Prince Edward Island,"Less than once a week, but at least once","Less than once a week, but at least once",At least once in the past 30 days
35 to 44 years old,Not stated,Prince Edward Island,Not at all,Not at all,At least once in the past 30 days
45 to 54 years old,Not stated,Nova Scotia,Daily,"Less than daily, but at least once a week",Not at all
65 years old and older,Female,New Brunswick,"Less than once a week, but at least once",In the past month,Not at all
20 to 24 years old,Not stated,Manitoba,"Less than once a week, but at least once",In the past month,At least once in the past 30 days
55 to 64 years old,Not stated,Alberta,Not at all,In the past month,Not at all
65 years old and older,Male,Newfoundland and Labrador,"Less than once a week, but at least once",In the past month,Not at all
45 to 54 years old,Not stated,Manitoba,Not at all,Daily,At least once in the past 30 days
25 to 34 years old,Female,Saskatchewan,Daily,"Less than daily, but at least once a week",Not at all
15 to 19 years old,Not stated,British Columbia,"Less than once a week, but at least once",Daily,Not at all
55 to 64 years old,Female,Saskatchewan,"Less than daily, but at least once a week",Not at all,Not at all
25 to 34 years old,Male,Prince Edward Island,"Less than daily, but at least once a week","Less than once a week, but at least once",At least once in the past 30 days
15 to 19 years old,Male,Newfoundland and Labrador,"Less than once a week, but at least once",Daily,Not at all
35 to 44 years old,Not stated,Manitoba,In the past month,"Less than daily, but at least once a week",Not at all
25 to 34 years old,Male,Ontario,Daily,Daily,At least once in the past 30 days
25 to 34 years old,Not stated,Newfoundland and Labrador,In the past month,"Less than once a week, but at least once",Not at all
15 to 19 years old,Male,Nova Scotia,"Less than once a week, but at least once",Not at all,Not at all
15 to 19 years old,Female,Manitoba,"Less than daily, but at least once a week","Less than daily, but at least once a week",Not at all
45 to 54 years old,Female,New Brunswick,Not at all,Not at all,At least once in the past 30 days
45 to 54 years old,Not stated,Alberta,"Less than once a week, but at least once",Daily,At least once in the past 30 days
65 years old and older,Female,British Columbia,"Less than daily, but at least once a week","Less than daily, but at least once a week",At least once in the past 30 days
20 to 24 years old,Not stated,Manitoba,"Less than once a week, but at least once",Daily,At least once in the past 30 days
25 to 34 years old,Female,Alberta,"Less than once a week, but at least once",Not at all,Not at all
55 to 64 years old,Male,Saskatchewan,In the past month,"Less than once a week, but at least once",Not at all
20 to 24 years old,Male,New Brunswick,"Less than once a week, but at least once",Daily,Not at all
20 to 24 years old,Not stated,Saskatchewan,In the past month,Daily,At least once in the past 30 days
45 to 54 years old,Female,British Columbia,Not at all,Daily,At least once in the past 30 days
15 to 19 years old,Not stated,Nova Scotia,Not at all,In the past month,Not at all
25 to 34 years old,Male,Quebec,Daily,"Less than once a week, but at least once",At least once in the past 30 days
55 to 64 years old,Male,British Columbia,Not at all,"Less than once a week, but at least once",Not at all
65 years old and older,Female,Ontario,Not at all,Daily,At least once in the past 30 days
55 to 64 years old,Not stated,New Brunswick,"Less than daily, but at least once a week",In the past month,At least once in the past 30 days
20 to 24 years old,Male,Alberta,Not at all,"Less than daily, but at least once a week",At least once in the past 30 days
25 to 34 years old,Male,Quebec,Daily,In the past month,At least once in the past 30 days
35 to 44 years old,Not stated,Newfoundland and Labrador,Not at all,Daily,Not at all
25 to 34 years old,Female,Saskatchewan,"Less than daily, but at least once a week","Less than once a week, but at least once",Not at all
65 years old and older,Female,British Columbia,"Less than once a week, but at least once",In the past month,Not at all
35 to 44 years old,Male,Alberta,"Less than daily, but at least once a week",Daily,At least once in the past 30 days
35 to 44 years old,Not stated,Saskatchewan,Daily,Not at all,Not at all
35 to 44 years old,Male,British Columbia,"Less than daily, but at least once a week","Less than daily, but at least once a week",Not at all
55 to 64 years old,Male,British Columbia,"Less than daily, but at least once a week","Less than daily, but at least once a week",Not at all
15 to 19 years old,Female,Manitoba,In the past month,In the past month,Not at all
45 to 54 years old,Female,British Columbia,Daily,"Less than daily, but at least once a week",Not at all
55 to 64 years old,Male,Nova Scotia,Daily,"Less than once a week, but at least once",Not at all
15 to 19 years old,Male,New Brunswick,In the past month,"Less than once a week, but at least once",Not at all
55 to 64 years old,Female,Newfoundland and Labrador,"Less than daily, but at least once a week","Less than daily, but at least once a week",At least once in the past 30 days
65 years old and older,Male,New Brunswick,In the past month,"Less than once a week, but at least once",Not at all
45 to 54 years old,Female,New Brunswick,"Less than daily, but at least once a week",In the past month,Not at all
20 to 24 years old,Female,Newfoundland and Labrador,In the past month,Daily,Not at all
55 to 64 years old,Male,Saskatchewan,Not at all,Not at all,Not at all
35 to 44 years old,Female,Manitoba,In the past month,"Less than once a week, but at least once",Not at all
55 to 64 years old,Male,British Columbia,Daily,"Less than daily, but at least once a week",At least once in the past 30 days
35 to 44 years old,Not stated,Nova Scotia,Daily,"Less than once a week, but at least once",Not at all
45 to 54 years old,Female,Saskatchewan,In the past month,"Less than daily, but at least once a week",Not at all
25 to 34 years old,Not stated,Quebec,"Less than once a week, but at least once","Less than once a week, but at least once",At least once in the past 30 days
65 years old and older,Male,Nova Scotia,Daily,"Less than once a week, but at least once",Not at all
20 to 24 years old,Not stated,New Brunswick,In the past month,"Less than once a week, but at least once",At least once in the past 30 days
65 years old and older,Not stated,British Columbia,Not at all,"Less than once a week, but at least once",At least once in the past 30 days
35 to 44 years old,Male,Newfoundland and Labrador,Daily,In the past month,At least once in the past 30 days
45 to 54 years old,Male,Quebec,Not at all,"Less than once a week, but at least once",At least once in the past 30 days
20 to 24 years old,Not stated,Quebec,Not at all,Daily,Not at all
35 to 44 years old,Not stated,Saskatchewan,"Less than daily, but at least once a week","Less than once a week, but at least once",Not at all
55 to 64 years old,Not stated,British Columbia,In the past month,In the past month,At least once in the past 30 days
65 years old and older,Not stated,Nova Scotia,"Less than once a week, but at least once",Not at all,Not at all
20 to 24 years old,Male,Prince Edward Island,"Less than once a week, but at least once","Less than daily, but at least once a week",At least once in the past 30 days
45 to 54 years old,Not stated,Quebec,Not at all,"Less than daily, but at least once a week",At least once in the past 30 days
20 to 24 years old,Male,Alberta,Not at all,"Less than once a week, but at least once",Not at all
55 to 64 years old,Female,New Brunswick,"Less than once a week, but at least once",Not at all,At least once in the past 30 days
25 to 34 years old,Not stated,Manitoba,"Less than once a week, but at least once",Not at all,At least once in the past 30 days
15 to 19 years old,Male,British Columbia,In the past month,Daily,Not at all
20 to 24 years old,Male,Saskatchewan,"Less than daily, but at least once a week","Less than daily, but at least once a week",Not at all
25 to 34 years old,Male,Prince Edward Island,"Less than once a week, but at least once",Daily,Not at all
35 to 44 years old,Male,British Columbia,Not at all,Not at all,Not at all
65 years old and older,Female,Alberta,Not at all,Not at all,At least once in the past 30 days
35 to 44 years old,Female,Ontario,"Less than daily, but at least once a week",In the past month,At least once in the past 30 days
45 to 54 years old,Not stated,Nova Scotia,In the past month,Daily,At least once in the past 30 days
45 to 54 years old,Female,Saskatchewan,"Less than daily, but at least once a week",Not at all,At least once in the past 30 days
65 years old and older,Not stated,Saskatchewan,"Less than daily, but at least once a week",Not at all,Not at all
45 to 54 years old,Not stated,Saskatchewan,"Less than once a week, but at least once","Less than once a week, but at least once",Not at all
20 to 24 years old,Not stated,Manitoba,Not at all,"Less than daily, but at least once a week",Not at all
65 years old and older,Not stated,Quebec,Not at all,Not at all,Not at all
20 to 24 years old,Male,Prince Edward Island,Daily,"Less than once a week, but at least once",At least once in the past 30 days
55 to 64 years old,Male,New Brunswick,"Less than once a week, but at least once",Not at all,At least once in the past 30 days
65 years old and older,Male,Manitoba,"Less than once a week, but at least once",Not at all,At least once in the past 30 days
20 to 24 years old,Female,Newfoundland and Labrador,"Less than daily, but at least once a week",Not at all,At least once in the past 30 days
20 to 24 years old,Female,British Columbia,Daily,Not at all,Not at all
65 years old and older,Not stated,Prince Edward Island,"Less than daily, but at least once a week",Daily,At least once in the past 30 days
35 to 44 years old,Male,New Brunswick,"Less than once a week, but at least once",In the past month,At least once in the past 30 days
65 years old and older,Not stated,Saskatchewan,Daily,"Less than once a week, but at least once",Not at all
20 to 24 years old,Not stated,Manitoba,"Less than once a week, but at least once","Less than once a week, but at least once",Not at all
45 to 54 years old,Male,Newfoundland and Labrador,Not at all,In the past month,Not at all
35 to 44 years old,Male,British Columbia,In the past month,Daily,At least once in the past 30 days
65 years old and older,Not stated,Ontario,In the past month,"Less than daily, but at least once a week",Not at all
25 to 34 years old,Male,Nova Scotia,Daily,Daily,Not at all
15 to 19 years old,Male,Prince Edward Island,Daily,"Less than once a week, but at least once",At least once in the past 30 days
45 to 54 years old,Female,Ontario,Not at all,In the past month,Not at all
65 years old and older,Male,Newfoundland and Labrador,"Less than once a week, but at least once","Less than daily, but at least once a week",At least once in the past 30 days
25 to 34 years old,Female,New Brunswick,In the past month,Daily,At least once in the past 30 days
65 years old and older,Female,Saskatchewan,"Less than daily, but at least once a week",Daily,Not at all
25 to 34 years old,Female,Alberta,Daily,"Less than daily, but at least once a week",At least once in the past 30 days
55 to 64 years old,Female,Alberta,"Less than once a week, but at least once",Daily,Not at all
35 to 44 years old,Female,Alberta,"Less than once a week, but at least once",Not at all,Not at all
35 to 44 years old,Female,Quebec,"Less than daily, but at least once a week","Less than once a week, but at least once",Not at all
45 to 54 years old,Not stated,Newfoundland and Labrador,Daily,"Less than once a week, but at least once",Not at all
65 years old and older,Male,Manitoba,Not at all,Daily,At least once in the past 30 days
20 to 24 years old,Male,Prince Edward Island,"Less than once a week, but at least once",In the past month,At least once in the past 30 days
25 to 34 years old,Male,British Columbia,Not at all,Not at all,At least once in the past 30 days
25 to 34 years old,Not stated,Newfoundland and Labrador,"Less than once a week, but at least once","Less than once a week, but at least once",At least once in the past 30 days
45 to 54 years old,Female,Alberta,"Less than daily, but at least once a week","Less than daily, but at least once a week",At least once in the past 30 days
65 years old and older,Male,British Columbia,"Less than once a week, but at least once",Daily,At least once in the past 30 days
65 years old and older,Male,Ontario,"Less than daily, but at least once a week","Less than daily, but at least once a week",At least once in the past 30 days
25 to 34 years old,Male,Quebec,In the past month,In the past month,At least once in the past 30 days
45 to 54 years old,Not stated,Prince Edward Island,In the past month,"Less than once a week, but at least once",At least once in the past 30 days
35 to 44 years old,Female,Saskatchewan,"Less than once a week, but at least once","Less than once a week, but at least once",At least once in the past 30 days
55 to 64 years old,Not stated,Prince Edward Island,Not at all,Daily,Not at all
15 to 19 years old,Female,Nova Scotia,In the past month,"Less than once a week, but at least once",At least once in the past 30 days
55 to 64 years old,Male,Nova Scotia,In the past month,"Less than daily, but at least once a week",Not at all
45 to 54 years old,Female,Newfoundland and Labrador,"Less than daily, but at least once a week",Daily,At least once in the past 30 days
15 to 19 years old,Female,Quebec,"Less than daily, but at least once a week",Daily,At least once in the past 30 days
20 to 24 years old,Male,New Brunswick,In the past month,Not at all,At least once in the past 30 days
65 years old and older,Female,Prince Edward Island,"Less than daily, but at least once a week","Less than daily, but at least once a week",Not at all
15 to 19 years old,Female,Newfoundland and Labrador,In the past month,Not at all,Not at all
65 years old and older,Male,Quebec,Daily,Daily,At least once in the past 30 days
15 to 19 years old,Female,Manitoba,In the past month,Daily,Not at all
20 to 24 years old,Female,Alberta,Daily,Daily,At least once in the past 30 days
15 to 19 years old,Not stated,Prince Edward Island,Daily,"Less than daily, but at least once a week",At least once in the past 30 days
35 to 44 years old,Not stated,New Brunswick,"Less than daily, but at least once a week","Less than once a week, but at least once",Not at all
25 to 34 years old,Not stated,Newfoundland and Labrador,Not at all,"Less than once a week, but at least once",Not at all
65 years old and older,Female,Manitoba,In the past month,Not at all,At least once in the past 30 days
65 years old and older,Male,Nova Scotia,Not at all,Daily,At least once in the past 30 days
35 to 44 years old,Not stated,Newfoundland and Labrador,Daily,"Less than daily, but at least once a week",Not at all
25 to 34 years old,Female,Manitoba,Daily,"Less than daily, but at least once a week",At least once in the past 30 days
45 to 54 years old,Female,Newfoundland and Labrador,"Less than daily, but at least once a week",In the past month,At least once in the past 30 days
35 to 44 years old,Not stated,Manitoba,Not at all,Daily,Not at all
35 to 44 years old,Not stated,Newfoundland and Labrador,"Less than daily, but at least once a week",Daily,At least once in the past 30 days
35 to 44 years old,Female,Nova Scotia,"Less than daily, but at least once a week","Less than daily, but at least once a week",At least once in the past 30 days
45 to 54 years old,Male,Quebec,"Less than daily, but at least once a week",In the past month,At least once in the past 30 days
15 to 19 years old,Not stated,British Columbia,"Less than once a week, but at least once",In the past month,At least once in the past 30 days
65 years old and older,Female,Saskatchewan,Daily,"Less than once a week, but at least once",At least once in the past 30 days
35 to 44 years old,Female,Manitoba,Daily,Not at all,At least once in the past 30 days
15 to 19 years old,Female,Nova Scotia,Daily,"Less than once a week, but at least once",Not at all
15 to 19 years old,Female,Ontario,"Less than daily, but at least once a week","Less than once a week, but at least once",At least once in the past 30 days
35 to 44 years old,Not stated,Ontario,"Less than once a week, but at least once",In the past month,At least once in the past 30 days
25 to 34 years old,Not stated,British Columbia,Daily,Not at all,At least once in the past 30 days
25 to 34 years old,Male,Ontario,Not at all,"Less than once a week, but at least once",At least once in the past 30 days
25 to 34 years old,Female,Prince Edward Island,Daily,In the past month,At least once in the past 30 days
20 to 24 years old,Female,Alberta,"Less than once a week, but at least once",Daily,Not at all
15 to 19 years old,Female,Quebec,In the past month,Daily,At least once in the past 30 days
20 to 24 years old,Male,Saskatchewan,"Less than daily, but at least once a week",Daily,At least once in the past 30 days
15 to 19 years old,Male,Ontario,Not at all,In the past month,At least once in the past 30 days
65 years old and older,Male,Manitoba,Not at all,Daily,At least once in the past 30 days
15 to 19 years old,Male,Quebec,"Less than daily, but at least once a week","Less than daily, but at least once a week",Not at all
15 to 19 years old,Female,British Columbia,In the past month,"Less than once a week, but at least once",At least once in the past 30 days
65 years old and older,Male,Quebec,Not at all,Not at all,Not at all
45 to 54 years old,Male,Newfoundland and Labrador,"Less than once a week, but at least once",Not at all,At least once in the past 30 days
15 to 19 years old,Not stated,Alberta,In the past month,"Less than once a week, but at least once",Not at all
45 to 54 years old,Not stated,Newfoundland and Labrador,Not at all,In the past month,At least once in the past 30 days
45 to 54 years old,Male,Prince Edward Island,"Less than daily, but at least once a week","Less than daily, but at least once a week",Not at all
35 to 44 years old,Not stated,Alberta,Daily,Not at all,At least once in the past 30 days
15 to 19 years old,Male,Nova Scotia,"Less than once a week, but at least once","Less than daily, but at least once a week",At least once in the past 30 days
25 to 34 years old,Female,Quebec,Not at all,In the past month,Not at all
35 to 44 years old,Female,Saskatchewan,"Less than once a week, but at least once","Less than once a week, but at least once",Not at all
15 to 19 years old,Male,Saskatchewan,Daily,Daily,Not at all
25 to 34 years old,Male,Newfoundland and Labrador,Not at all,"Less than daily, but at least once a week",At least once in the past 30 days
25 to 34 years old,Not stated,Newfoundland and Labrador,"Less than once a week, but at least once",Daily,At least once in the past 30 days
15 to 19 years old,Male,British Columbia,"Less than daily, but at least once a week",Daily,Not at all
35 to 44 years old,Not stated,Nova Scotia,"Less than daily, but at least once a week",Not at all,At least once in the past 30 days
25 to 34 years old,Not stated,British Columbia,In the past month,Not at all,Not at all
55 to 64 years old,Male,Nova Scotia,Daily,"Less than once a week, but at least once",Not at all
45 to 54 years old,Female,New Brunswick,Not at all,In the past month,Not at all
20 to 24 years old,Not stated,Nova Scotia,In the past month,Not at all,At least once in the past 30 days
25 to 34 years old,Not stated,Quebec,"Less than once a week, but at least once",In the past month,Not at all
20 to 24 years old,Female,Prince Edward Island,Daily,Daily,Not at all
25 to 34 years old,Female,Prince Edward Island,Not at all,"Less than once a week, but at least once",Not at all
20 to 24 years old,Not stated,Nova Scotia,Not at all,"Less than once a week, but at least once",Not at all
20 to 24 years old,Female,Newfoundland and Labrador,Not at all,"Less than daily, but at least once a week",Not at all
35 to 44 years old,Not stated,Alberta,"Less than daily, but at least once a week","Less than daily, but at least once a week",Not at all
35 to 44 years old,Not stated,Newfoundland and Labrador,"Less than daily, but at least once a week",Daily,Not at all
20 to 24 years old,Male,Saskatchewan,Daily,Not at all,At least once in the past 30 days
55 to 64 years old,Not stated,Manitoba,In the past month,In the past month,At least once in the past 30 days
15 to 19 years old,Male,Nova Scotia,In the past month,In the past month,At least once in the past 30 days
45 to 54 years old,Female,Prince Edward Island,Not at all,In the past month,Not at all
55 to 64 years old,Male,Prince Edward Island,In the past month,"Less than daily, but at least once a week",Not at all
55 to 64 years old,Male,Newfoundland and Labrador,"Less than daily, but at least once a week",Daily,At least once in the past 30 days
20 to 24 years old,Not stated,New Brunswick,Not at all,In the past month,Not at all
15 to 19 years old,Not stated,New Brunswick,Daily,"Less than daily, but at least once a week",At least once in the past 30 days
45 to 54 years old,Female,Alberta,In the past month,Not at all,At least once in the past 30 days
35 to 44 years old,Male,British Columbia,Not at all,Not at all,At least once in the past 30 days
35 to 44 years old,Female,Newfoundland and Labrador,"Less than once a week, but at least once","Less than once a week, but at least once",At least once in the past 30 days
45 to 54 years old,Male,Ontario,"Less than once a week, but at least once","Less than daily, but at least once a week",Not at all
45 to 54 years old,Female,Manitoba,In the past month,Not at all,Not at all
25 to 34 years old,Not stated,Manitoba,Daily,Not at all,At least once in the past 30 days
55 to 64 years old,Not stated,Newfoundland and Labrador,"Less than daily, but at least once a week","Less than daily, but at least once a week",Not at all
55 to 64 years old,Male,Prince Edward Island,In the past month,"Less than daily, but at least once a week",Not at all
45 to 54 years old,Not stated,Saskatchewan,"Less than once a week, but at least once",Daily,Not at all
55 to 64 years old,Not stated,Saskatchewan,"Less than once a week, but at least once",Daily,At least once in the past 30 days
15 to 19 years old,Male,Ontario,"Less than once a week, but at least once",Not at all,Not at all
65 years old and older,Not stated,Nova Scotia,Daily,"Less than once a week, but at least once",Not at all
25 to 34 years old,Male,Manitoba,Not at all,"Less than once a week, but at least once",At least once in the past 30 days
55 to 64 years old,Female,Quebec,"Less than once a week, but at least once",In the past month,Not at all
65 years old and older,Not stated,Ontario,Not at all,"Less than once a week, but at least once",Not at all
45 to 54 years old,Female,British Columbia,"Less than once a week, but at least once",In the past month,At least once in the past 30 days
65 years old and older,Male,Newfoundland and Labrador,Daily,Not at all,At least once in the past 30 days
45 to 54 years old,Female,British Columbia,"Less than daily, but at least once a week",Not at all,Not at all
15 to 19 years old,Male,New Brunswick,Not at all,Daily,At least once in the past 30 days
25 to 34 years old,Female,Saskatchewan,Not at all,Daily,At least once in the past 30 days
20 to 24 years old,Female,Ontario,"Less than once a week, but at least once",In the past month,Not at all
15 to 19 years old,Male,Newfoundland and Labrador,In the past month,In the past month,Not at all
35 to 44 years old,Not stated,Newfoundland and Labrador,Daily,Not at all,At least once in the past 30 days
20 to 24 years old,Female,Alberta,"Less than daily, but at least once a week",Not at all,At least once in the past 30 days
15 to 19 years old,Female,Quebec,Not at all,Daily,Not at all
25 to 34 years old,Female,Saskatchewan,Not at all,In the past month,Not at all
20 to 24 years old,Male,Prince Edward Island,In the past month,"Less than daily, but at least once a week",Not at all
45 to 54 years old,Not stated,Saskatchewan,In the past month,Daily,Not at all
55 to 64 years old,Male,Ontario,"Less than daily, but at least once a week","Less than daily, but at least once a week",Not at all
65 years old and older,Female,Nova Scotia,Daily,In the past month,Not at all
20 to 24 years old,Female,New Brunswick,"Less than daily, but at least once a week",Not at all,At least once in the past 30 days
25 to 34 years old,Male,Ontario,"Less than once a week, but at least once",Daily,At least once in the past 30 days
20 to 24 years old,Male,Ontario,"Less than daily, but at least once a week",In the past month,Not at all
15 to 19 years old,Not stated,Prince Edward Island,Not at all,In the past month,At least once in the past 30 days
65 years old and older,Female,Newfoundland and Labrador,"Less than once a week, but at least once",In the past month,Not at all
15 to 19 years old,Male,Quebec,In the past month,Daily,Not at all
65 years old and older,Not stated,British Columbia,Not at all,Not at all,Not at all
20 to 24 years old,Female,New Brunswick,Not at all,"Less than daily, but at least once a week",At least once in the past 30 days
55 to 64 years old,Female,Newfoundland and Labrador,Daily,"Less than once a week, but at least once",Not at all
65 years old and older,Male,Newfoundland and Labrador,In the past month,"Less than once a week, but at least once",At least once in the past 30 days
25 to 34 years old,Female,Newfoundland and Labrador,Not at all,Daily,Not at all
45 to 54 years old,Male,Prince Edward Island,"Less than once a week, but at least once",Daily,At least once in the past 30 days
20 to 24 years old,Male,Newfoundland and Labrador,In the past month,"Less than once a week, but at least once",At least once in the past 30 days
15 to 19 years old,Female,Prince Edward Island,Not at all,In the past month,Not at all
25 to 34 years old,Female,Quebec,Not at all,"Less than once a week, but at least once",At least once in the past 30 days
65 years old and older,Male,Newfoundland and Labrador,"Less than once a week, but at least once","Less than daily, but at least once a week",Not at all
25 to 34 years old,Male,Quebec,In the past month,Daily,Not at all
25 to 34 years old,Female,Manitoba,"Less than daily, but at least once a week",Not at all,Not at all
20 to 24 years old,Not stated,British Columbia,"Less than daily, but at least once a week","Less than once a week, but at least once",At least once in the past 30 days
25 to 34 years old,Male,Ontario,"Less than daily, but at least once a week",In the past month,At least once in the past 30 days
55 to 64 years old,Male,Prince Edward Island,"Less than daily, but at least once a week",Not at all,Not at all
45 to 54 years old,Male,British Columbia,"Less than once a week, but at least once",Not at all,At least once in the past 30 days
55 to 64 years old,Female,Manitoba,"Less than once a week, but at least once",Not at all,At least once in the past 30 days
45 to 54 years old,Female,Nova Scotia,"Less than daily, but at least once a week",Not at all,At least once in the past 30 days
15 to 19 years old,Not stated,Alberta,Daily,"Less than once a week, but at least once",At least once in the past 30 days
20 to 24 years old,Not stated,Nova Scotia,Daily,"Less than once a week, but at least once",Not at all
15 to 19 years old,Male,Ontario,"Less than daily, but at least once a week",Not at all,At least once in the past 30 days
25 to 34 years old,Female,Prince Edward Island,Not at all,In the past month,At least once in the past 30 days
35 to 44 years old,Female,Ontario,"Less than once a week, but at least once",Daily,At least once in the past 30 days
25 to 34 years old,Female,Prince Edward Island,"Less than once a week, but at least once","Less than once a week, but at least once",At least once in the past 30 days
45 to 54 years old,Female,Quebec,Not at all,"Less than once a week, but at least once",Not at all
25 to 34 years old,Female,British Columbia,Daily,Daily,Not at all
55 to 64 years old,Male,Ontario,Daily,"Less than once a week, but at least once",Not at all
15 to 19 years old,Male,New Brunswick,Not at all,Not at all,Not at all
55 to 64 years old,Not stated,New Brunswick,Daily,"Less than once a week, but at least once",Not at all
45 to 54 years old,Female,Saskatchewan,Not at all,"Less than daily, but at least once a week",At least once in the past 30 days
45 to 54 years old,Not stated,Newfoundland and Labrador,Not at all,"Less than daily, but at least once a week",At least once in the past 30 days
35 to 44 years old,Female,Newfoundland and Labrador,Not at all,"Less than once a week, but at least once",At least once in the past 30 days
65 years old and older,Male,Manitoba,"Less than once a week, but at least once","Less than daily, but at least once a week",At least once in the past 30 days
15 to 19 years old,Male,Manitoba,Not at all,"Less than daily, but at least once a week",Not at all
20 to 24 years old,Male,New Brunswick,"Less than daily, but at least once a week",In the past month,At least once in the past 30 days
35 to 44 years old,Not stated,Newfoundland and Labrador,Not at all,"Less than daily, but at least once a week",Not at all
45 to 54 years old,Male,Alberta,Daily,In the past month,At least once in the past 30 days
65 years old and older,Male,Quebec,In the past month,Daily,At least once in the past 30 days
45 to 54 years old,Not stated,Saskatchewan,Not at all,"Less than daily, but at least once a week",Not at all
65 years old and older,Female,Prince Edward Island,"Less than daily, but at least once a week",Daily,At least once in the past 30 days
15 to 19 years old,Female,Ontario,"Less than daily, but at least once a week","Less than daily, but at least once a week",Not at all
45 to 54 years old,Female,New Brunswick,Not at all,In the past month,Not at all
45 to 54 years old,Not stated,Saskatchewan,"Less than once a week, but at least once",In the past month,At least once in the past 30 days
25 to 34 years old,Female,Newfoundland and Labrador,In the past month,Not at all,Not at all
55 to 64 years old,Female,Alberta,In the past month,Daily,At least once in the past 30 days
20 to 24 years old,Male,Quebec,"Less than daily, but at least once a week",Daily,Not at all
35 to 44 years old,Male,Quebec,Daily,"Less than daily, but at least once a week",At least once in the past 30 days
20 to 24 years old,Male,Nova Scotia,Daily,Daily,At least once in the past 30 days
15 to 19 years old,Male,Ontario,Daily,Not at all,At least once in the past 30 days
25 to 34 years old,Not stated,British Columbia,"Less than once a week, but at least once","Less than once a week, but at least once",At least once in the past 30 days
45 to 54 years old,Male,Alberta,Daily,Daily,At least once in the past 30 days
55 to 64 years old,Not stated,Manitoba,In the past month,Daily,Not at all
20 to 24 years old,Female,Prince Edward Island,Not at all,"Less than once a week, but at least once",At least once in the past 30 days
65 years old and older,Female,Quebec,Not at all,Not at all,Not at all
35 to 44 years old,Not stated,Saskatchewan,"Less than once a week, but at least once","Less than once a week, but at least once",At least once in the past 30 days
55 to 64 years old,Male,Newfoundland and Labrador,In the past month,"Less than daily, but at least once a week",At least once in the past 30 days
55 to 64 years old,Not stated,British Columbia,"Less than daily, but at least once a week",In the past month,At least once in the past 30 days
55 to 64 years old,Female,Newfoundland and Labrador,In the past month,Daily,Not at all
45 to 54 years old,Female,Alberta,"Less than daily, but at least once a week",Daily,Not at all
65 years old and older,Male,Saskatchewan,"Less than daily, but at least once a week",In the past month,At least once in the past 30 days
